191|SYSTEM NORMAL|  11:36:33 PM Saturday, 05-June-2021 
192|SYSTEM NORMAL|  11:36:43 PM Saturday, 05-June-2021 
193|SYSTEM NORMAL|  11:38:17 PM Saturday, 05-June-2021 
194|SYSTEM NORMAL|  11:38:32 PM Saturday, 05-June-2021 
195|SYSTEM NORMAL|  11:39:42 PM Saturday, 05-June-2021 
196|SYSTEM NORMAL|  11:39:45 PM Saturday, 05-June-2021 
197|SYSTEM NORMAL|  11:40:38 PM Saturday, 05-June-2021 
198|SYSTEM NORMAL|  11:40:39 PM Saturday, 05-June-2021 
199|SYSTEM NORMAL|  11:41:07 PM Saturday, 05-June-2021 
200|SYSTEM NORMAL|  11:41:10 PM Saturday, 05-June-2021 
201|SYSTEM NORMAL|  11:41:12 PM Saturday, 05-June-2021 
202|SUPERVISORY|Module L03M010|WATERFLOW S|  11:45:54 PM Saturday, 05-June-2021 L03M010
203|SUPERVISORY|Module L03M010|WATERFLOW S|  11:48:25 PM Saturday, 05-June-2021 L03M010
204|SUPERVISORY|Module L03M010|WATERFLOW S|  11:51:37 PM Saturday, 05-June-2021 L03M010
205|SUPERVISORY|Module L03M010|WATERFLOW S|  11:52:09 PM Saturday, 05-June-2021 L03M010
206|SUPERVISORY|Module L03M010|WATERFLOW S|  11:52:44 PM Saturday, 05-June-2021 L03M010
207|SUPERVISORY|Module L03M010|WATERFLOW S|  11:54:20 PM Saturday, 05-June-2021 L03M010
208|CLEARED SUPERVISORY|Module L03M010|WATERFLOW S|  11:54:39 PM Saturday, 05-June-2021 L03M010
209|ACTIVE TRACK SUPERV MODULE ADDR 1M006|Z004|  11:55:38 PM Saturday, 05-June-2021 1M006
210|ACTIVE TRACK SUPERV MODULE ADDR 1M006|Z004|  11:56:05 PM Saturday, 05-June-2021 1M006
211|TROUBL |BATTERY|  11:56:31 PM Saturday, 05-June-2021 
212|TROUBL |Sys Initialization|  11:56:55 PM Saturday, 05-June-2021 
213|SYSTEM RESET|  11:57:17 PM Saturday, 05-June-2021 
214|ACTIVE TRACK SUPERV MODULE ADDR 1M006|Z004|  11:57:26 PM Saturday, 05-June-2021 1M006
215|ACTIVE TAMPER|MODULE ADDR 1M006|Z004|  11:57:42 PM Saturday, 05-June-2021 1M006
216|SYSTEM RESET|  11:57:49 PM Saturday, 05-June-2021 
217|CLR TB |BATTERY|  11:58:04 PM Saturday, 05-June-2021 
218|CLR ACTTRACK SUPERV MODULE ADDR 1M006|Z004|  11:58:14 PM Saturday, 05-June-2021 1M006
219|CLR TB |Sys Initialization|  11:58:27 PM Saturday, 05-June-2021 
220|SYSTEM NORMAL|  11:58:38 PM Saturday, 05-June-2021 
221|FIRE ALARM|FIRE ALARM|FIRE ALARM|LAB 1|Zone Z001|Z001|PULL STATION|  12:03:50 AM Sunday, 06-June-2021 L03M004
222|ACKNOWLEDGED FIRE ALARM|LAB 1|Zone Z001|Z001|PULL STATION|  12:04:04 AM Sunday, 06-June-2021 L03M004
223|SYSTEM RESET|  12:04:16 AM Sunday, 06-June-2021 
224|CLEARED FIRE ALARM|LAB 1|Zone Z001|Z001|PULL STATION|  12:04:30 AM Sunday, 06-June-2021 L03M004
225|FIRE ALARM|FIRE ALARM|FIRE ALARM|Module L03M010|WATERFLOW|  12:04:43 AM Sunday, 06-June-2021 L03M010
226|ACKNOWLEDGED FIRE ALARM|Module L03M010|WATERFLOW|  12:05:14 AM Sunday, 06-June-2021 L03M010
227|SYSTEM RESET|  12:05:24 AM Sunday, 06-June-2021 
228|SUPERVISORY|Module L03M010|WATERFLOW S|  12:05:35 AM Sunday, 06-June-2021 L03M010
229|ACKED SUPERVISORY|Module L03M010|WATERFLOW S|  12:05:46 AM Sunday, 06-June-2021 L03M010
230|SYSTEM RESET|  12:05:53 AM Sunday, 06-June-2021 
231|CLEARED SUPERVISORY|Module L03M010|WATERFLOW S|  12:06:00 AM Sunday, 06-June-2021 L03M010
232|SYSTEM NORMAL|  12:06:27 AM Sunday, 06-June-2021 
233|TROUBLE|BATTERY LOW|Module L03M157|POWER MONITR|  12:06:42 AM Sunday, 06-June-2021 L03M157
234|TROUBLE|BATTERY LOW|Module L03M157|POWER MONITR|  12:11:13 AM Sunday, 06-June-2021 L03M157
235|CLEARED TROUBLE|Module L03M157|POWER MONITR|  12:11:35 AM Sunday, 06-June-2021 L03M157
236|FIRE ALARM|FIRE ALARM|FIRE ALARM|Module L03M010|WATERFLOW|  12:12:07 AM Sunday, 06-June-2021 L03M010
237|ACKNOWLEDGED FIRE ALARM|Module L03M010|WATERFLOW|  12:12:20 AM Sunday, 06-June-2021 L03M010
238|SYSTEM RESET|  12:12:27 AM Sunday, 06-June-2021 
239|TROUBLE|PROG MODE ACTIVATED|MASTER PASSWORD|  12:12:39 AM Sunday, 06-June-2021 
240|CLEARED TROUBLE|PROG MODE ACTIVATED|MASTER PASSWORD|  12:12:49 AM Sunday, 06-June-2021 
241|SUPERVISORY|Module L03M010|WATERFLOW S|  12:12:56 AM Sunday, 06-June-2021 L03M010
242|ACKED SUPERVISORY|Module L03M010|WATERFLOW S|  12:13:03 AM Sunday, 06-June-2021 L03M010
