"ATC-ALL FLOOR-PANEL-1 - LOOPS 1,2,3,4,5,6,7"|G100,,,,,,,,,,,,,
ADDRESS ID,AREA ID,ADDRESS,ADDRESS LABEL,ADDRESS LABEL,GAS STAGES,,,,,,,,
126,ZONE-10,N105L01D052,G100-GF-Y036-0101-SD-052,LOCKERS ROOM,,,,,,,N105L01D052,1,
127,ZONE-10,N105L01D053,G100-GF-Y036-0101-SD-053,EMPLOYEES TOILET,,,,,,,N105L01D053,1,
128,ZONE-10,N105L01D054,G100-GF-Y036-0101-SD-054,EMPLOYEES TOILET,,,,,,,N105L01D054,1,
129,ZONE-10,N105L01D055,G100-GF-Y036-0101-SD-055,EMPLOYEES TOILET,,,,,,,N105L01D055,1,
130,ZONE-10,N105L01D056,G100-GF-Y036-0101-SD-056,EMPLOYEES TOILET,,,,,,,N105L01D056,1,
131,ZONE-10,N105L01D057,G100-GF-Y036-0101-SD-057,CIRCULATION,,,,,,,N105L01D057,1,
132,ZONE-10,N105L01D058,G100-GF-Y036-0101-SD-058,CIRCULATION,,,,,,,N105L01D058,1,
133,ZONE-10,N105L01D095,G100-GF-Y036-0101-SD-095,CONTROLER BRIEFING,,,,,,,N105L01D095,1,
134,ZONE-10,N105L01D096,G100-GF-Y036-0101-SD-096,CONTROLER BRIEFING,,,,,,,N105L01D096,1,
135,ZONE-10,N105L01D059,G100-GF-Y036-0101-SD-059,CIRCULATION,,,,,,,N105L01D059,1,
136,ZONE-10,N105L01D060,G100-GF-Y036-0101-SD-060,CIRCULATION,,,,,,,N105L01D060,1,
137,ZONE-10,N105L01M064,G100-GF-Y036-0101-RM-064,MEETING ROOM,,,,,,,N105L01M064,1,
138,ZONE-10,N105L01D061,G100-GF-Y036-0101-SD-061,MEETING ROOM,,,,,,,N105L01D061,1,
139,ZONE-10,N105L01D062,G100-GF-Y036-0101-SD-062,MEETING ROOM,,,,,,,N105L01D062,1,
140,ZONE-11,N105L01M065,G100-GF-Y036-0101-MM-065,ANS BACKUP ROOM,"GS-Z1 ,STAGE 1 ALARM",,,,,,N105L01M065,1,
141,ZONE-11,N105L01M066,G100-GF-Y036-0101-MM-066,ANS BACKUP ROOM,"GS-Z2,STAGE 2 ALARM",,,,,,N105L01M066,1,
142,ZONE-11,N105L01M067,G100-GF-Y036-0101-MM-067,ANS BACKUP ROOM,"GS-GD,GAS DISCHARGE",,,,,,N105L01M067,1,
143,ZONE-11,N105L01M068,G100-GF-Y036-0101-MM-068,ANS BACKUP ROOM,"GS-T,TROUBLE",,,,,,N105L01M068,1,
144,ZONE-11,N105L01D123,G100-GF-Y036-0101-SD-123,COMM CLOSET,,,,,,,N105L01D123,1,
145,ZONE-10,N105L01D063,G100-GF-Y036-0101-SD-063,REPLAY ROOM,,,,,,,N105L01D063,1,
146,ZONE-10,N105L01D064,G100-GF-Y036-0101-SD-064,REPLAY ROOM,,,,,,,N105L01D064,1,
147,ZONE-10,N105L01D065,G100-GF-Y036-0101-SD-065,STORAGE,,,,,,,N105L01D065,1,
148,ZONE-10,N105L01D066,G100-GF-Y036-0101-SD-066,PRAYER ROOM TOILET,,,,,,,N105L01D066,1,
