LOAD CENTRE - A  GENERATOR PLANT| C110 ,,,,,,,,,,,,,,
ADDRESS ID,AREA ID,AL01DL01DRESS,ADDRESS LABEL, ROOM NO / ADDRESS LABEL, ROOM NO,ADDRESS LABEL,INTERFACE,,,,,,,
72,ZONE-01,N171L01M063,C110-GF-Y036-0201-MM-063,02-GF-TR-28 / GENERATOR HALL,02-GF-TR-28,GENERATOR HALL,,,,,,,,
73,ZONE-01,N171L01M064,C110-GF-Y036-0201-MM-064,02-GF-TR-28 / GENERATOR HALL,02-GF-TR-28,GENERATOR HALL,,,,,,,,
74,ZONE-02,N171L01D009,C110-GF-Y036-0201-SHD-009, / GAS BOTTLE ENCLOSURE 05,,GAS BOTTLE ENCLOSURE 05,,,,,,,,
75,ZONE-02,N171L01M067,C110-GF-Y036-0201-MM-067,02-GF-CI-02 / CIRCULATION,02-GF-CI-02,CIRCULATION,,,,,,,,
76,ZONE-02,N171L01M068,C110-GF-Y036-0201-MM-068,02-GF-CI-02 / CIRCULATION,02-GF-CI-02,CIRCULATION,,,,,,,,
77,ZONE-02,N171L01M069,C110-GF-Y036-0201-MM-069,02-GF-CI-02 / CIRCULATION,02-GF-CI-02,CIRCULATION,,,,,,,,
78,ZONE-02,N171L01M070,C110-GF-Y036-0201-MM-070,02-GF-CI-02 / CIRCULATION,02-GF-CI-02,CIRCULATION,,,,,,,,
79,ZONE-02,N171L01D010,C110-GF-Y036-0201-SD-010,02-GF-CI-02 / CIRCULATION,02-GF-CI-02,CIRCULATION,,,,,,,,
80,ZONE-07,N171L01M071,C110-GF-Y036-0201-MM-071,02-GF-TR-17 / PANEL ROOM,02-GF-TR-17,PANEL ROOM,,,,,,,,
81,ZONE-07,N171L01M072,C110-GF-Y036-0201-MM-072,02-GF-TR-17 / PANEL ROOM,02-GF-TR-17,PANEL ROOM,,,,,,,,
82,ZONE-07,N171L01M073,C110-GF-Y036-0201-MM-073,02-GF-TR-17 / PANEL ROOM,02-GF-TR-17,PANEL ROOM,,,,,,,,
83,ZONE-07,N171L01M074,C110-GF-Y036-0201-MM-074,02-GF-TR-17 / PANEL ROOM,02-GF-TR-17,PANEL ROOM,,,,,,,,
84,ZONE-02,N171L01M075,C110-GF-Y036-0201-RM-075,02-GF-CI-02 / CIRCULATION,02-GF-CI-02,CIRCULATION,,,,,,,,
85,ZONE-02,N171L01D011,C110-GF-Y036-0201-SD-011,02-GF-CI-02 / CIRCULATION,02-GF-CI-02,CIRCULATION,,,,,,,,
86,ZONE-02,N171L01D012,C110-GF-Y036-0201-SD-012,02-GF-CI-02 / CIRCULATION,02-GF-CI-02,CIRCULATION,,,,,,,,
87,ZONE-02,N171L01D013,C110-GF-Y036-0201-SHD-013,02-GF-TR-19 / AIR INTAKE PLENUM,02-GF-TR-19,AIR INTAKE PLENUM,,,,,,,,
88,ZONE-02,N171L01D014,C110-GF-Y036-0201-SHD-014,02-GF-TR-19 / AIR INTAKE PLENUM,02-GF-TR-19,AIR INTAKE PLENUM,,,,,,,,
89,ZONE-06,N171L01M084,C110-GF-Y036-0201-MM-084,02-GF-TR-18 / MV SWITCH GEAR,02-GF-TR-18,MV SWITCH GEAR,,,,,,,,
90,ZONE-06,N171L01M085,C110-GF-Y036-0201-MM-085,02-GF-TR-18 / MV SWITCH GEAR,02-GF-TR-18,MV SWITCH GEAR,,,,,,,,
91,ZONE-06,N171L01M086,C110-GF-Y036-0201-MM-086,02-GF-TR-18 / MV SWITCH GEAR,02-GF-TR-18,MV SWITCH GEAR,,,,,,,,
92,ZONE-06,N171L01M087,C110-GF-Y036-0201-MM-087,02-GF-TR-18 / MV SWITCH GEAR,02-GF-TR-18,MV SWITCH GEAR,,,,,,,,
93,ZONE-02,N171L01D015,C110-GF-Y036-0201-SD-015,02-GF-CI-02 / CIRCULATION,02-GF-CI-02,CIRCULATION,,,,,,,,
94,ZONE-02,N171L01D016,C110-GF-Y036-0201-SHD-016,02-GF-TR-19 / AIR INTAKE PLENUM,02-GF-TR-19,AIR INTAKE PLENUM,,,,,,,,
